,attention,scaled attention,gradients,IG,DL,Average
Comp,0.42522576401509915,0.4276837567774379,0.3799164589354106,0.4556946822467731,0.4011085706658761,
Dataset,sst,sst,sst,sst,sst,
Soft-Comp,0.525896032354471,0.514587931572356,0.5264137994101585,0.5177419462823332,0.5614237904703936,
Soft-Suff,0.4997899740062882,0.49871913100657156,0.46366686737498,0.4851072827845518,0.45961427935258625,
Suff,0.40172897545542297,0.3859803998966185,0.30074653728378997,0.367697970867927,0.2922616541145574,
Comp,0.11981272993762201,0.12151397912341519,0.08744299637989228,0.11484968202300916,0.08294898732862663,
Dataset,sst,sst,sst,sst,sst,
Soft-Comp,0.3555398982528456,0.3475784248455107,0.3557723605323541,0.3492868378801231,0.3879084950259379,
Soft-Suff,0.13935617882191176,0.1404403443580876,0.12893730066984713,0.13709923258477924,0.13238383413107646,
Suff,0.09626127985185629,0.09512428421099027,0.06094360490387392,0.08525552418826,0.06217445624565193,
