,Feature,TopK,SOFT,Dataset
0,attention,0.3490389895661724,0.40691927512355847,sst
1,scaled attention,0.35222405271828666,0.39648544755628773,sst
2,gradients,0.3942888522789676,0.39373970345963755,sst
3,ig,0.5354200988467875,0.39483800109829764,sst
4,deeplift,0.4128500823723229,0.5617792421746294,sst
0,attention,0.3286111111111111,0.6319444444444444,evinf
1,scaled attention,0.3263888888888889,0.6236111111111111,evinf
2,gradients,0.27749999999999997,0.6375,evinf
3,ig,0.2961111111111111,0.6152777777777778,evinf
4,deeplift,0.33166666666666667,0.6333333333333333,evinf
0,attention,0.5072631578947369,0.6538157894736842,agnews
1,scaled attention,0.5135789473684211,0.6394736842105263,agnews
2,gradients,0.31563157894736843,0.6584210526315789,agnews
3,ig,0.43734210526315787,0.646578947368421,agnews
4,deeplift,0.32123684210526315,0.6481578947368422,agnews
0,attention,0.44055280528052804,0.4084158415841584,multirc
1,scaled attention,0.44088283828382835,0.39686468646864687,multirc
2,gradients,0.44616336633663367,0.4146039603960396,multirc
3,ig,0.44636963696369636,0.4110973597359736,multirc
4,deeplift,0.4313118811881188,0.3997524752475248,multirc
