,feature,evinf,sst
0,fixed-deeplift,0.23505911450162292,0.3271164348090393
1,fixed-lime,0.18175186753566788,0.39181170422184897
2,fixed-attention,0.45751865452419016,0.4102458261730205
3,fixed-ig,0.26502668977464494,0.4086337065487555
4,fixed-gradients,0.18113286646168328,0.31188610926164384
5,fixed-scaled attention,0.528160443051018,0.4087335488613686
6,fixed-random,0.11327820868408126,0.29353615431101077
7,fixed-fixed-len_var-feat,0.5757967277724598,0.5407090845751032
8,fixed-fixed-len_var-feat_var-type,0.6291613844176835,0.5473547058194205
9,var-deeplift,0.24134773106754892,0.2877442023250564
10,var-lime,0.2026300221092495,0.36628470082874437
11,var-attention,0.5050880085651442,0.33603068797405994
12,var-ig,0.282337991706936,0.37875115113898716
13,var-gradients,0.21690295219501207,0.29354019010516075
14,var-scaled attention,0.539633514031425,0.33791800128539834
15,var-random,0.1253620095406791,0.2776357517649758
16,var-var-len_var-feat,0.5861053791089539,0.5066357907380874
17,var-var-len_var-feat_var-type,0.6504661332548292,0.5294728520699177
