,Feature,Soft-NormSuff,std,Soft-NormComp,std, AOPC NormSuff,std,AOPC NormComp,std,Dataset
0,Random,0.858106079881581,0.286317149486487,0.42292663363441,0.370399783894765,0.38028605621382405,0.22966231324517103,0.252552457077144,0.17662625232770102,sst
1,Attention,0.8766504186042061,0.287229245990959,0.338817393247246,0.34790567994745103,0.41606480340824104,0.170616653169666,0.29274843778803,0.164881186931526,sst
2,Scaled Attention,0.8654761119433361,0.30662233349309104,0.37678848872103304,0.368078811211528,0.41666727157799605,0.17005559632149903,0.29312369015906503,0.16498789167056602,sst
3,Gradients,0.878864105279434,0.291802536409741,0.331568190368407,0.36647660632162704,0.35320297671168704,0.18363982012228502,0.23824343445311102,0.15531458247742902,sst
4,Integrated Gradients,0.8492850224436741,0.31607781816470604,0.36030901198084103,0.38220317551057903,0.470107166534439,0.262722812658767,0.360861967713254,0.25215636675616404,sst
5,Deeplift,0.7281646949621321,0.358578323697174,0.43662788925685303,0.36018686199604005,0.400931140159333,0.22984474938119903,0.274115314857976,0.18195653088851502,sst
0,Random,0.8391559170588011,0.35036439733532104,0.304506423420636,0.40710535857192504,0.359376101508037,0.259307470533863,0.26114340913239403,0.160199470970828,agnews
1,Attention,0.8366912702558811,0.34504942459237803,0.336671442925426,0.419186545014108,0.38329742581158305,0.23681620111259002,0.32996299678859903,0.17932119417980003,agnews
2,Scaled Attention,0.8602822554364301,0.31519764781874804,0.339594104115214,0.42644185966663806,0.38227638525859403,0.236705285653405,0.333929349086079,0.179624630552912,agnews
3,Gradients,0.8308864796549941,0.34731632758685704,0.34579805874964603,0.42530427636968704,0.31952873792663805,0.22505652418813502,0.265177468296798,0.187624880078039,agnews
4,Integrated Gradients,0.8091377866896591,0.359878337804084,0.276812744546928,0.41208087745256605,0.36276662583110103,0.251879802844567,0.33155722870540205,0.20333329828844102,agnews
5,Deeplift,0.8068558242958841,0.37906568881339403,0.18269269148857,0.314753760547241,0.32648383558905203,0.255683015094787,0.24569843169924502,0.11409146168778901,agnews
